Kod;Nazwa;Wiek;Rok;Wartosc;Jednostka miary;Atrybut
0806025;Drezdenko - obszar wiejski (5);w wieku produkcyjnym;2015;63,0;%; 
0806025;Drezdenko - obszar wiejski (5);w wieku produkcyjnym;2022;60,0;%; 
0806032;Stare Kurowo (2);w wieku przedprodukcyjnym;2015;19,0;%; 
0806032;Stare Kurowo (2);w wieku przedprodukcyjnym;2022;20,6;%; 
0806032;Stare Kurowo (2);w wieku produkcyjnym;2015;63,3;%; 
0806032;Stare Kurowo (2);w wieku produkcyjnym;2022;58,3;%; 
0806043;Strzelce Krajeńskie (3);w wieku przedprodukcyjnym;2015;19,0;%; 
0806043;Strzelce Krajeńskie (3);w wieku przedprodukcyjnym;2022;18,2;%; 
0806043;Strzelce Krajeńskie (3);w wieku produkcyjnym;2015;62,7;%; 
0806043;Strzelce Krajeńskie (3);w wieku produkcyjnym;2022;57,9;%; 
0806044;Strzelce Krajeńskie - miasto (4);w wieku przedprodukcyjnym;2015;18,3;%; 
0806044;Strzelce Krajeńskie - miasto (4);w wieku przedprodukcyjnym;2022;17,7;%; 
0806044;Strzelce Krajeńskie - miasto (4);w wieku produkcyjnym;2015;62,4;%; 
0806044;Strzelce Krajeńskie - miasto (4);w wieku produkcyjnym;2022;56,9;%; 
0806045;Strzelce Krajeńskie - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,0;%; 
0806045;Strzelce Krajeńskie - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,9;%; 
0806045;Strzelce Krajeńskie - obszar wiejski (5);w wieku produkcyjnym;2015;63,2;%; 
0806045;Strzelce Krajeńskie - obszar wiejski (5);w wieku produkcyjnym;2022;59,4;%; 
0806052;Zwierzyn (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0806052;Zwierzyn (2);w wieku przedprodukcyjnym;2022;19,7;%; 
0806052;Zwierzyn (2);w wieku produkcyjnym;2015;64,5;%; 
0806052;Zwierzyn (2);w wieku produkcyjnym;2022;60,9;%; 
0807012;Krzeszyce (2);w wieku przedprodukcyjnym;2015;19,5;%; 
0807012;Krzeszyce (2);w wieku przedprodukcyjnym;2022;20,1;%; 
0807012;Krzeszyce (2);w wieku produkcyjnym;2015;64,4;%; 
0807012;Krzeszyce (2);w wieku produkcyjnym;2022;59,1;%; 
0807023;Lubniewice (3);w wieku przedprodukcyjnym;2015;16,0;%; 
0807023;Lubniewice (3);w wieku przedprodukcyjnym;2022;16,7;%; 
0807023;Lubniewice (3);w wieku produkcyjnym;2015;64,3;%; 
0807023;Lubniewice (3);w wieku produkcyjnym;2022;59,0;%; 
0807024;Lubniewice - miasto (4);w wieku przedprodukcyjnym;2015;15,7;%; 
0807024;Lubniewice - miasto (4);w wieku przedprodukcyjnym;2022;16,2;%; 
0807024;Lubniewice - miasto (4);w wieku produkcyjnym;2015;63,2;%; 
0807024;Lubniewice - miasto (4);w wieku produkcyjnym;2022;58,1;%; 
0807025;Lubniewice - obszar wiejski (5);w wieku przedprodukcyjnym;2015;16,6;%; 
0807025;Lubniewice - obszar wiejski (5);w wieku przedprodukcyjnym;2022;17,5;%; 
0807025;Lubniewice - obszar wiejski (5);w wieku produkcyjnym;2015;66,5;%; 
0807025;Lubniewice - obszar wiejski (5);w wieku produkcyjnym;2022;60,7;%; 
0807032;Słońsk (2);w wieku przedprodukcyjnym;2015;19,1;%; 
0807032;Słońsk (2);w wieku przedprodukcyjnym;2022;20,0;%; 
0807032;Słońsk (2);w wieku produkcyjnym;2015;66,1;%; 
0807032;Słońsk (2);w wieku produkcyjnym;2022;61,4;%; 
0807043;Sulęcin (3);w wieku przedprodukcyjnym;2015;18,8;%; 
0807043;Sulęcin (3);w wieku przedprodukcyjnym;2022;19,2;%; 
0807043;Sulęcin (3);w wieku produkcyjnym;2015;62,9;%; 
0807043;Sulęcin (3);w wieku produkcyjnym;2022;58,2;%; 
0807044;Sulęcin - miasto (4);w wieku przedprodukcyjnym;2015;18,3;%; 
0807044;Sulęcin - miasto (4);w wieku przedprodukcyjnym;2022;18,7;%; 
0807044;Sulęcin - miasto (4);w wieku produkcyjnym;2015;62,2;%; 
0807044;Sulęcin - miasto (4);w wieku produkcyjnym;2022;57,3;%; 
0807045;Sulęcin - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,6;%; 
0807045;Sulęcin - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,2;%; 
0807045;Sulęcin - obszar wiejski (5);w wieku produkcyjnym;2015;64,1;%; 
0807045;Sulęcin - obszar wiejski (5);w wieku produkcyjnym;2022;59,8;%; 
0807053;Torzym (3);w wieku przedprodukcyjnym;2015;19,7;%; 
0807053;Torzym (3);w wieku przedprodukcyjnym;2022;19,4;%; 
0807053;Torzym (3);w wieku produkcyjnym;2015;64,6;%; 
0807053;Torzym (3);w wieku produkcyjnym;2022;59,7;%; 
0807054;Torzym - miasto (4);w wieku przedprodukcyjnym;2015;19,5;%; 
0807054;Torzym - miasto (4);w wieku przedprodukcyjnym;2022;20,9;%; 
0807054;Torzym - miasto (4);w wieku produkcyjnym;2015;64,7;%; 
0807054;Torzym - miasto (4);w wieku produkcyjnym;2022;56,8;%; 
0807055;Torzym - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,8;%; 
0807055;Torzym - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,4;%; 
0807055;Torzym - obszar wiejski (5);w wieku produkcyjnym;2015;64,5;%; 
0807055;Torzym - obszar wiejski (5);w wieku produkcyjnym;2022;61,5;%; 
0808012;Lubrza (2);w wieku przedprodukcyjnym;2015;19,1;%; 
0808012;Lubrza (2);w wieku przedprodukcyjnym;2022;19,7;%; 
0808012;Lubrza (2);w wieku produkcyjnym;2015;65,8;%; 
0808012;Lubrza (2);w wieku produkcyjnym;2022;61,5;%; 
0808022;Łagów (2);w wieku przedprodukcyjnym;2015;15,8;%; 
0808022;Łagów (2);w wieku przedprodukcyjnym;2022;16,2;%; 
0808022;Łagów (2);w wieku produkcyjnym;2015;64,8;%; 
0808022;Łagów (2);w wieku produkcyjnym;2022;60,0;%; 
0808032;Skąpe (2);w wieku przedprodukcyjnym;2015;18,0;%; 
0808032;Skąpe (2);w wieku przedprodukcyjnym;2022;18,4;%; 
0808032;Skąpe (2);w wieku produkcyjnym;2015;64,7;%; 
0808032;Skąpe (2);w wieku produkcyjnym;2022;59,0;%; 
0808042;Szczaniec (2);w wieku przedprodukcyjnym;2015;19,8;%; 
0808042;Szczaniec (2);w wieku przedprodukcyjnym;2022;18,7;%; 
0808042;Szczaniec (2);w wieku produkcyjnym;2015;64,9;%; 
0808042;Szczaniec (2);w wieku produkcyjnym;2022;59,4;%; 
0808053;Świebodzin (3);w wieku przedprodukcyjnym;2015;18,7;%; 
0808053;Świebodzin (3);w wieku przedprodukcyjnym;2022;19,0;%; 
0808053;Świebodzin (3);w wieku produkcyjnym;2015;62,5;%; 
0808053;Świebodzin (3);w wieku produkcyjnym;2022;57,8;%; 
0808054;Świebodzin - miasto (4);w wieku przedprodukcyjnym;2015;18,2;%; 
0808054;Świebodzin - miasto (4);w wieku przedprodukcyjnym;2022;18,5;%; 
0808054;Świebodzin - miasto (4);w wieku produkcyjnym;2015;61,9;%; 
0808054;Świebodzin - miasto (4);w wieku produkcyjnym;2022;56,8;%; 
0808055;Świebodzin - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,0;%; 
0808055;Świebodzin - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,5;%; 
0808055;Świebodzin - obszar wiejski (5);w wieku produkcyjnym;2015;64,1;%; 
0808055;Świebodzin - obszar wiejski (5);w wieku produkcyjnym;2022;60,3;%; 
0808063;Zbąszynek (3);w wieku przedprodukcyjnym;2015;19,8;%; 
0808063;Zbąszynek (3);w wieku przedprodukcyjnym;2022;20,7;%; 
0808063;Zbąszynek (3);w wieku produkcyjnym;2015;62,5;%; 
0808063;Zbąszynek (3);w wieku produkcyjnym;2022;57,3;%; 
0808064;Zbąszynek - miasto (4);w wieku przedprodukcyjnym;2015;18,5;%; 
0808064;Zbąszynek - miasto (4);w wieku przedprodukcyjnym;2022;17,8;%; 
0808064;Zbąszynek - miasto (4);w wieku produkcyjnym;2015;61,8;%; 
0808064;Zbąszynek - miasto (4);w wieku produkcyjnym;2022;57,8;%; 
0808065;Zbąszynek - obszar wiejski (5);w wieku przedprodukcyjnym;2015;21,6;%; 
0808065;Zbąszynek - obszar wiejski (5);w wieku przedprodukcyjnym;2022;25,1;%; 
0808065;Zbąszynek - obszar wiejski (5);w wieku produkcyjnym;2015;63,4;%; 
0808065;Zbąszynek - obszar wiejski (5);w wieku produkcyjnym;2022;56,6;%; 
0809013;Babimost (3);w wieku przedprodukcyjnym;2015;18,8;%; 
0809013;Babimost (3);w wieku przedprodukcyjnym;2022;18,5;%; 
0809013;Babimost (3);w wieku produkcyjnym;2015;63,0;%; 
0809013;Babimost (3);w wieku produkcyjnym;2022;59,1;%; 
0809014;Babimost - miasto (4);w wieku przedprodukcyjnym;2015;18,2;%; 
0809014;Babimost - miasto (4);w wieku przedprodukcyjnym;2022;17,6;%; 
0809014;Babimost - miasto (4);w wieku produkcyjnym;2015;63,2;%; 
0809014;Babimost - miasto (4);w wieku produkcyjnym;2022;59,0;%; 
0809015;Babimost - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,8;%; 
0809015;Babimost - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,1;%; 
0809015;Babimost - obszar wiejski (5);w wieku produkcyjnym;2015;62,7;%; 
0809015;Babimost - obszar wiejski (5);w wieku produkcyjnym;2022;59,3;%; 
0809022;Bojadła (2);w wieku przedprodukcyjnym;2015;18,1;%; 
0809022;Bojadła (2);w wieku przedprodukcyjnym;2022;19,1;%; 
0809022;Bojadła (2);w wieku produkcyjnym;2015;63,6;%; 
0809022;Bojadła (2);w wieku produkcyjnym;2022;58,1;%; 
0809033;Czerwieńsk (3);w wieku przedprodukcyjnym;2015;19,2;%; 
0809033;Czerwieńsk (3);w wieku przedprodukcyjnym;2022;20,0;%; 
0809033;Czerwieńsk (3);w wieku produkcyjnym;2015;64,1;%; 
0809033;Czerwieńsk (3);w wieku produkcyjnym;2022;59,2;%; 
0809034;Czerwieńsk - miasto (4);w wieku przedprodukcyjnym;2015;17,5;%; 
0809034;Czerwieńsk - miasto (4);w wieku przedprodukcyjnym;2022;18,0;%; 
0809034;Czerwieńsk - miasto (4);w wieku produkcyjnym;2015;65,3;%; 
0809034;Czerwieńsk - miasto (4);w wieku produkcyjnym;2022;57,5;%; 
0809035;Czerwieńsk - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,3;%; 
0809035;Czerwieńsk - obszar wiejski (5);w wieku przedprodukcyjnym;2022;21,2;%; 
0809035;Czerwieńsk - obszar wiejski (5);w wieku produkcyjnym;2015;63,3;%; 
0809035;Czerwieńsk - obszar wiejski (5);w wieku produkcyjnym;2022;60,3;%; 
0809043;Kargowa (3);w wieku przedprodukcyjnym;2015;19,9;%; 
0809043;Kargowa (3);w wieku przedprodukcyjnym;2022;19,6;%; 
0809043;Kargowa (3);w wieku produkcyjnym;2015;63,1;%; 
0809043;Kargowa (3);w wieku produkcyjnym;2022;59,4;%; 
0809044;Kargowa - miasto (4);w wieku przedprodukcyjnym;2015;19,6;%; 
0809044;Kargowa - miasto (4);w wieku przedprodukcyjnym;2022;19,6;%; 
0809044;Kargowa - miasto (4);w wieku produkcyjnym;2015;63,4;%; 
0809044;Kargowa - miasto (4);w wieku produkcyjnym;2022;59,5;%; 
0809045;Kargowa - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,4;%; 
0809045;Kargowa - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,5;%; 
0809045;Kargowa - obszar wiejski (5);w wieku produkcyjnym;2015;62,7;%; 
0809045;Kargowa - obszar wiejski (5);w wieku produkcyjnym;2022;59,4;%; 
0809053;Nowogród Bobrzański (3);w wieku przedprodukcyjnym;2015;18,2;%; 
0809053;Nowogród Bobrzański (3);w wieku przedprodukcyjnym;2022;18,4;%; 
0809053;Nowogród Bobrzański (3);w wieku produkcyjnym;2015;64,8;%; 
0809053;Nowogród Bobrzański (3);w wieku produkcyjnym;2022;60,3;%; 
0809054;Nowogród Bobrzański - miasto (4);w wieku przedprodukcyjnym;2015;17,6;%; 
0809054;Nowogród Bobrzański - miasto (4);w wieku przedprodukcyjnym;2022;17,5;%; 
0809054;Nowogród Bobrzański - miasto (4);w wieku produkcyjnym;2015;64,0;%; 
0809054;Nowogród Bobrzański - miasto (4);w wieku produkcyjnym;2022;58,1;%; 
0809055;Nowogród Bobrzański - obszar wiejski (5);w wieku przedprodukcyjnym;2015;18,9;%; 
0809055;Nowogród Bobrzański - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,3;%; 
0809055;Nowogród Bobrzański - obszar wiejski (5);w wieku produkcyjnym;2015;65,8;%; 
0809055;Nowogród Bobrzański - obszar wiejski (5);w wieku produkcyjnym;2022;62,9;%; 
0809063;Sulechów (3);w wieku przedprodukcyjnym;2015;17,3;%; 
0809063;Sulechów (3);w wieku przedprodukcyjnym;2022;18,5;%; 
0809063;Sulechów (3);w wieku produkcyjnym;2015;64,6;%; 
0809063;Sulechów (3);w wieku produkcyjnym;2022;58,5;%; 
0809064;Sulechów - miasto (4);w wieku przedprodukcyjnym;2015;16,1;%; 
0809064;Sulechów - miasto (4);w wieku przedprodukcyjnym;2022;16,4;%; 
0809064;Sulechów - miasto (4);w wieku produkcyjnym;2015;64,7;%; 
0809064;Sulechów - miasto (4);w wieku produkcyjnym;2022;57,4;%; 
0809065;Sulechów - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,6;%; 
0809065;Sulechów - obszar wiejski (5);w wieku przedprodukcyjnym;2022;21,6;%; 
0809065;Sulechów - obszar wiejski (5);w wieku produkcyjnym;2015;64,4;%; 
0809065;Sulechów - obszar wiejski (5);w wieku produkcyjnym;2022;60,2;%; 
0809072;Świdnica (2);w wieku przedprodukcyjnym;2015;18,7;%; 
0809072;Świdnica (2);w wieku przedprodukcyjnym;2022;19,5;%; 
0809072;Świdnica (2);w wieku produkcyjnym;2015;65,6;%; 
0809072;Świdnica (2);w wieku produkcyjnym;2022;59,8;%; 
0809082;Trzebiechów (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0809082;Trzebiechów (2);w wieku przedprodukcyjnym;2022;20,1;%; 
0809082;Trzebiechów (2);w wieku produkcyjnym;2015;63,8;%; 
0809082;Trzebiechów (2);w wieku produkcyjnym;2022;58,0;%; 
0809092;Zabór (2);w wieku przedprodukcyjnym;2015;19,5;%; 
0809092;Zabór (2);w wieku przedprodukcyjnym;2022;21,5;%; 
0809092;Zabór (2);w wieku produkcyjnym;2015;66,4;%; 
0809092;Zabór (2);w wieku produkcyjnym;2022;60,3;%; 
0810011;Gozdnica (1);w wieku przedprodukcyjnym;2015;14,8;%; 
0810011;Gozdnica (1);w wieku przedprodukcyjnym;2022;15,0;%; 
0810011;Gozdnica (1);w wieku produkcyjnym;2015;64,2;%; 
0810011;Gozdnica (1);w wieku produkcyjnym;2022;58,1;%; 
0810021;Żagań (1);w wieku przedprodukcyjnym;2015;16,8;%; 
0810021;Żagań (1);w wieku przedprodukcyjnym;2022;16,2;%; 
0810021;Żagań (1);w wieku produkcyjnym;2015;63,0;%; 
0810021;Żagań (1);w wieku produkcyjnym;2022;57,1;%; 
0810032;Brzeźnica (2);w wieku przedprodukcyjnym;2015;19,3;%; 
0810032;Brzeźnica (2);w wieku przedprodukcyjnym;2022;19,5;%; 
0810032;Brzeźnica (2);w wieku produkcyjnym;2015;64,3;%; 
0810032;Brzeźnica (2);w wieku produkcyjnym;2022;59,7;%; 
0810043;Iłowa (3);w wieku przedprodukcyjnym;2015;17,6;%; 
0810043;Iłowa (3);w wieku przedprodukcyjnym;2022;16,8;%; 
0810043;Iłowa (3);w wieku produkcyjnym;2015;63,9;%; 
0810043;Iłowa (3);w wieku produkcyjnym;2022;58,6;%; 
0810044;Iłowa - miasto (4);w wieku przedprodukcyjnym;2015;16,7;%; 
0810044;Iłowa - miasto (4);w wieku przedprodukcyjnym;2022;16,8;%; 
0810044;Iłowa - miasto (4);w wieku produkcyjnym;2015;63,4;%; 
0810044;Iłowa - miasto (4);w wieku produkcyjnym;2022;58,0;%; 
0810045;Iłowa - obszar wiejski (5);w wieku przedprodukcyjnym;2015;18,6;%; 
0810045;Iłowa - obszar wiejski (5);w wieku przedprodukcyjnym;2022;16,8;%; 
0810045;Iłowa - obszar wiejski (5);w wieku produkcyjnym;2015;64,5;%; 
0810045;Iłowa - obszar wiejski (5);w wieku produkcyjnym;2022;59,5;%; 
0810053;Małomice (3);w wieku przedprodukcyjnym;2015;16,6;%; 
0810053;Małomice (3);w wieku przedprodukcyjnym;2022;18,9;%; 
0810053;Małomice (3);w wieku produkcyjnym;2015;64,0;%; 
0810053;Małomice (3);w wieku produkcyjnym;2022;58,2;%; 
0810054;Małomice - miasto (4);w wieku przedprodukcyjnym;2015;15,6;%; 
0810054;Małomice - miasto (4);w wieku przedprodukcyjnym;2022;18,7;%; 
0810054;Małomice - miasto (4);w wieku produkcyjnym;2015;64,4;%; 
0810054;Małomice - miasto (4);w wieku produkcyjnym;2022;57,7;%; 
0810055;Małomice - obszar wiejski (5);w wieku przedprodukcyjnym;2015;18,7;%; 
0810055;Małomice - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,4;%; 
0810055;Małomice - obszar wiejski (5);w wieku produkcyjnym;2015;63,0;%; 
0810055;Małomice - obszar wiejski (5);w wieku produkcyjnym;2022;59,2;%; 
0810062;Niegosławice (2);w wieku przedprodukcyjnym;2015;19,8;%; 
0810062;Niegosławice (2);w wieku przedprodukcyjnym;2022;20,1;%; 
0810062;Niegosławice (2);w wieku produkcyjnym;2015;63,1;%; 
0810062;Niegosławice (2);w wieku produkcyjnym;2022;59,2;%; 
0810073;Szprotawa (3);w wieku przedprodukcyjnym;2015;18,0;%; 
0810073;Szprotawa (3);w wieku przedprodukcyjnym;2022;17,0;%; 
0810073;Szprotawa (3);w wieku produkcyjnym;2015;62,7;%; 
0810073;Szprotawa (3);w wieku produkcyjnym;2022;58,8;%; 
0810074;Szprotawa - miasto (4);w wieku przedprodukcyjnym;2015;16,3;%; 
0810074;Szprotawa - miasto (4);w wieku przedprodukcyjnym;2022;15,7;%; 
0810074;Szprotawa - miasto (4);w wieku produkcyjnym;2015;61,4;%; 
0810074;Szprotawa - miasto (4);w wieku produkcyjnym;2022;56,6;%; 
0810075;Szprotawa - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,1;%; 
0810075;Szprotawa - obszar wiejski (5);w wieku przedprodukcyjnym;2022;18,7;%; 
0810075;Szprotawa - obszar wiejski (5);w wieku produkcyjnym;2015;64,3;%; 
0810075;Szprotawa - obszar wiejski (5);w wieku produkcyjnym;2022;61,5;%; 
0810082;Wymiarki (2);w wieku przedprodukcyjnym;2015;16,6;%; 
0810082;Wymiarki (2);w wieku przedprodukcyjnym;2022;15,5;%; 
0810082;Wymiarki (2);w wieku produkcyjnym;2015;65,0;%; 
0810082;Wymiarki (2);w wieku produkcyjnym;2022;61,1;%; 
0810092;Żagań (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0810092;Żagań (2);w wieku przedprodukcyjnym;2022;20,1;%; 
0810092;Żagań (2);w wieku produkcyjnym;2015;65,4;%; 
0810092;Żagań (2);w wieku produkcyjnym;2022;61,0;%; 
0811011;Łęknica (1);w wieku przedprodukcyjnym;2015;19,0;%; 
0811011;Łęknica (1);w wieku przedprodukcyjnym;2022;17,3;%; 
0811011;Łęknica (1);w wieku produkcyjnym;2015;66,0;%; 
0811011;Łęknica (1);w wieku produkcyjnym;2022;62,8;%; 
0811021;Żary (1);w wieku przedprodukcyjnym;2015;17,0;%; 
0811021;Żary (1);w wieku przedprodukcyjnym;2022;17,1;%; 
0811021;Żary (1);w wieku produkcyjnym;2015;62,4;%; 
0811021;Żary (1);w wieku produkcyjnym;2022;57,0;%; 
0811032;Brody (2);w wieku przedprodukcyjnym;2015;18,7;%; 
0811032;Brody (2);w wieku przedprodukcyjnym;2022;18,3;%; 
0811032;Brody (2);w wieku produkcyjnym;2015;66,1;%; 
0811032;Brody (2);w wieku produkcyjnym;2022;60,3;%; 
0811043;Jasień (3);w wieku przedprodukcyjnym;2015;17,5;%; 
0811043;Jasień (3);w wieku przedprodukcyjnym;2022;17,4;%; 
0811043;Jasień (3);w wieku produkcyjnym;2015;64,7;%; 
0811043;Jasień (3);w wieku produkcyjnym;2022;60,0;%; 
0811044;Jasień - miasto (4);w wieku przedprodukcyjnym;2015;16,5;%; 
0811044;Jasień - miasto (4);w wieku przedprodukcyjnym;2022;15,9;%; 
0811044;Jasień - miasto (4);w wieku produkcyjnym;2015;64,2;%; 
0811044;Jasień - miasto (4);w wieku produkcyjnym;2022;59,5;%; 
0811045;Jasień - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,2;%; 
0811045;Jasień - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,7;%; 
0811045;Jasień - obszar wiejski (5);w wieku produkcyjnym;2015;65,4;%; 
0811045;Jasień - obszar wiejski (5);w wieku produkcyjnym;2022;60,8;%; 
0811052;Lipinki Łużyckie (2);w wieku przedprodukcyjnym;2015;19,7;%; 
0811052;Lipinki Łużyckie (2);w wieku przedprodukcyjnym;2022;20,5;%; 
0811052;Lipinki Łużyckie (2);w wieku produkcyjnym;2015;64,3;%; 
0811052;Lipinki Łużyckie (2);w wieku produkcyjnym;2022;60,6;%; 
0811063;Lubsko (3);w wieku przedprodukcyjnym;2015;17,7;%; 
0811063;Lubsko (3);w wieku przedprodukcyjnym;2022;16,8;%; 
0811063;Lubsko (3);w wieku produkcyjnym;2015;63,4;%; 
0811063;Lubsko (3);w wieku produkcyjnym;2022;58,9;%; 
0811064;Lubsko - miasto (4);w wieku przedprodukcyjnym;2015;17,2;%; 
0811064;Lubsko - miasto (4);w wieku przedprodukcyjnym;2022;15,9;%; 
0811064;Lubsko - miasto (4);w wieku produkcyjnym;2015;62,6;%; 
0811064;Lubsko - miasto (4);w wieku produkcyjnym;2022;58,3;%; 
0811065;Lubsko - obszar wiejski (5);w wieku przedprodukcyjnym;2015;19,4;%; 
0811065;Lubsko - obszar wiejski (5);w wieku przedprodukcyjnym;2022;19,5;%; 
0811065;Lubsko - obszar wiejski (5);w wieku produkcyjnym;2015;65,6;%; 
0811065;Lubsko - obszar wiejski (5);w wieku produkcyjnym;2022;60,8;%; 
0811072;Przewóz (2);w wieku przedprodukcyjnym;2015;18,2;%; 
0811072;Przewóz (2);w wieku przedprodukcyjnym;2022;17,9;%; 
0811072;Przewóz (2);w wieku produkcyjnym;2015;65,8;%; 
0811072;Przewóz (2);w wieku produkcyjnym;2022;62,5;%; 
0811082;Trzebiel (2);w wieku przedprodukcyjnym;2015;18,2;%; 
0811082;Trzebiel (2);w wieku przedprodukcyjnym;2022;18,5;%; 
0811082;Trzebiel (2);w wieku produkcyjnym;2015;64,2;%; 
0811082;Trzebiel (2);w wieku produkcyjnym;2022;59,3;%; 
0811092;Tuplice (2);w wieku przedprodukcyjnym;2015;16,8;%; 
0811092;Tuplice (2);w wieku przedprodukcyjnym;2022;17,3;%; 
0811092;Tuplice (2);w wieku produkcyjnym;2015;64,0;%; 
0811092;Tuplice (2);w wieku produkcyjnym;2022;59,4;%; 
0811102;Żary (2);w wieku przedprodukcyjnym;2015;19,6;%; 
0811102;Żary (2);w wieku przedprodukcyjnym;2022;19,7;%; 
0811102;Żary (2);w wieku produkcyjnym;2015;65,7;%; 
0811102;Żary (2);w wieku produkcyjnym;2022;61,8;%; 
0812013;Sława (3);w wieku przedprodukcyjnym;2015;20,7;%; 
0812013;Sława (3);w wieku przedprodukcyjnym;2022;19,9;%; 
0812013;Sława (3);w wieku produkcyjnym;2015;62,2;%; 
0812013;Sława (3);w wieku produkcyjnym;2022;57,5;%; 
0812014;Sława - miasto (4);w wieku przedprodukcyjnym;2015;18,0;%; 
0812014;Sława - miasto (4);w wieku przedprodukcyjnym;2022;18,9;%; 
0812014;Sława - miasto (4);w wieku produkcyjnym;2015;61,9;%; 
0812014;Sława - miasto (4);w wieku produkcyjnym;2022;55,0;%; 
0812015;Sława - obszar wiejski (5);w wieku przedprodukcyjnym;2015;22,0;%; 
0812015;Sława - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,4;%; 
0812015;Sława - obszar wiejski (5);w wieku produkcyjnym;2015;62,3;%; 
0812015;Sława - obszar wiejski (5);w wieku produkcyjnym;2022;58,7;%; 
0812023;Szlichtyngowa (3);w wieku przedprodukcyjnym;2015;20,7;%; 
0812023;Szlichtyngowa (3);w wieku przedprodukcyjnym;2022;19,9;%; 
0812023;Szlichtyngowa (3);w wieku produkcyjnym;2015;64,5;%; 
0812023;Szlichtyngowa (3);w wieku produkcyjnym;2022;60,4;%; 
0812024;Szlichtyngowa - miasto (4);w wieku przedprodukcyjnym;2015;19,7;%; 
0812024;Szlichtyngowa - miasto (4);w wieku przedprodukcyjnym;2022;19,3;%; 
0812024;Szlichtyngowa - miasto (4);w wieku produkcyjnym;2015;65,0;%; 
0812024;Szlichtyngowa - miasto (4);w wieku produkcyjnym;2022;59,9;%; 
0812025;Szlichtyngowa - obszar wiejski (5);w wieku przedprodukcyjnym;2015;21,0;%; 
0812025;Szlichtyngowa - obszar wiejski (5);w wieku przedprodukcyjnym;2022;20,2;%; 
0812025;Szlichtyngowa - obszar wiejski (5);w wieku produkcyjnym;2015;64,3;%; 
0812025;Szlichtyngowa - obszar wiejski (5);w wieku produkcyjnym;2022;60,6;%; 
0812033;Wschowa (3);w wieku przedprodukcyjnym;2015;19,0;%; 
0812033;Wschowa (3);w wieku przedprodukcyjnym;2022;18,8;%; 
0812033;Wschowa (3);w wieku produkcyjnym;2015;63,0;%; 
0812033;Wschowa (3);w wieku produkcyjnym;2022;58,5;%; 
0812034;Wschowa - miasto (4);w wieku przedprodukcyjnym;2015;18,0;%; 
0812034;Wschowa - miasto (4);w wieku przedprodukcyjnym;2022;17,6;%; 
0812034;Wschowa - miasto (4);w wieku produkcyjnym;2015;62,6;%; 
0812034;Wschowa - miasto (4);w wieku produkcyjnym;2022;57,8;%; 
0812035;Wschowa - obszar wiejski (5);w wieku przedprodukcyjnym;2015;20,9;%; 
0812035;Wschowa - obszar wiejski (5);w wieku przedprodukcyjnym;2022;21,2;%; 
0812035;Wschowa - obszar wiejski (5);w wieku produkcyjnym;2015;63,8;%; 
0812035;Wschowa - obszar wiejski (5);w wieku produkcyjnym;2022;59,8;%; 
0861011;Gorzów Wielkopolski (1);w wieku przedprodukcyjnym;2015;17,1;%; 
0861011;Gorzów Wielkopolski (1);w wieku przedprodukcyjnym;2022;16,4;%; 
0861011;Gorzów Wielkopolski (1);w wieku produkcyjnym;2015;61,6;%; 
0861011;Gorzów Wielkopolski (1);w wieku produkcyjnym;2022;57,5;%; 
0862011;Zielona Góra (1);w wieku przedprodukcyjnym;2015;17,3;%; 
0862011;Zielona Góra (1);w wieku przedprodukcyjnym;2022;17,9;%; 
0862011;Zielona Góra (1);w wieku produkcyjnym;2015;61,7;%; 
0862011;Zielona Góra (1);w wieku produkcyjnym;2022;57,6;%; 
1001011;Bełchatów (1);w wieku przedprodukcyjnym;2015;17,3;%; 
1001011;Bełchatów (1);w wieku przedprodukcyjnym;2022;18,1;%; 
1001011;Bełchatów (1);w wieku produkcyjnym;2015;67,8;%; 
1001011;Bełchatów (1);w wieku produkcyjnym;2022;57,0;%; 
1001022;Bełchatów (2);w wieku przedprodukcyjnym;2015;19,5;%; 
